Continent,Climate,Activity,Budget,Travel Style,Duration,Destination
Oceania,Tropical,City,Medium,Family,One_Week,Honolulu
Oceania,Cold,Nature,Low,Backpacking,Two_Weeks,Southern Alps
Oceania,Mild,Culture,Medium,Family,One_Week,Christchurch
Europe,Mild,Culture,Medium,Solo,Weekend,Albania
Europe,Cold,Nature,Low,Backpacking,Two_Weeks,Faroe Islands
Europe,Mild,City,Medium,Family,One_Week,Riga
Europe,Cold,Adventure,Low,Backpacking,Two_Weeks,Transylvania
Europe,Mild,Food,Medium,Solo,One_Week,Ljubljana
Europe,Cold,Culture,High,Luxury,Weekend,Kotor
Europe,Mild,City,Medium,Family,One_Week,Vilnius
Europe,Cold,Nature,Medium,Solo,One_Week,Svalbard
Europe,Mild,Adventure,Low,Backpacking,Two_Weeks,Corsica
Europe,Cold,City,Medium,Solo,One_Week,Sarajevo
Asia,Tropical,Beach,Medium,Family,One_Week,Timor-Leste
Asia,Hot,Culture,Low,Backpacking,Two_Weeks,Bhutan
Asia,Mild,Nature,Medium,Solo,One_Week,Kyrgyzstan
Asia,Tropical,Adventure,High,Luxury,Weekend,Brunei
Asia,Hot,Food,Low,Backpacking,Two_Weeks,Uzbekistan
Asia,Mild,City,Medium,Family,One_Week,Bishkek
Asia,Tropical,Culture,Medium,Solo,One_Week,Laos
Asia,Hot,Nature,High,Luxury,Weekend,Turkmenistan
Asia,Mild,Adventure,Low,Backpacking,Two_Weeks,Pakistan
Asia,Tropical,Beach,Medium,Family,One_Week,Andaman Islands
North America,Mild,Nature,Medium,Solo,One_Week,Belize
North America,Hot,Culture,Low,Backpacking,Two_Weeks,Honduras
North America,Mild,Adventure,Medium,Family,One_Week,Guatemala
North America,Cold,Nature,Medium,Solo,One_Week,Labrador
North America,Hot,City,High,Luxury,Weekend,El Salvador
North America,Mild,Culture,Medium,Solo,One_Week,Nicaragua
North America,Hot,Beach,Low,Backpacking,Two_Weeks,Baja California
North America,Cold,Adventure,Medium,Family,One_Week,Yukon
North America,Mild,Food,Medium,Solo,One_Week,Saint Pierre and Miquelon
North America,Hot,City,Medium,Solo,One_Week,Dominica
South America,Hot,Culture,Medium,Solo,Weekend,Guyana
South America,Tropical,Beach,High,Luxury,One_Week,Suriname
South America,Mild,Nature,Low,Backpacking,Two_Weeks,Paraguay
South America,Hot,Adventure,Medium,Family,One_Week,Pantanal
South America,Tropical,City,High,Luxury,Weekend,Paramaribo
South America,Mild,Food,Medium,Solo,One_Week,Asunción
South America,Hot,Culture,Low,Backpacking,Two_Weeks,Chachapoyas
South America,Tropical,Nature,Medium,Family,One_Week,Canaima National Park
South America,Mild,Adventure,Medium,Solo,One_Week,La Guajira
South America,Hot,City,Medium,Solo,One_Week,Leticia
Africa,Mild,Culture,Medium,Solo,Weekend,São Tomé and Príncipe
Africa,Hot,Safari,High,Luxury,One_Week,Chad
Africa,Tropical,Beach,Low,Backpacking,Two_Weeks,Comoros
Africa,Hot,Adventure,Medium,Family,One_Week,Benin
Africa,Mild,Nature,Medium,Solo,One_Week,Lesotho
Africa,Hot,Food,Low,Backpacking,Two_Weeks,Togo
Africa,Mild,City,High,Luxury,Weekend,Djibouti
Africa,Tropical,Culture,Medium,Family,One_Week,Burundi
Africa,Hot,Adventure,Medium,Solo,One_Week,Gabon
Africa,Mild,Nature,Medium,Family,One_Week,Malawi
Oceania,Hot,Beach,Medium,Family,One_Week,Tuvalu
Oceania,Mild,City,High,Luxury,Weekend,Nauru
Oceania,Cold,Adventure,Low,Backpacking,Two_Weeks,Norfolk Island
Oceania,Tropical,Nature,Medium,Solo,One_Week,Vanuatu
Oceania,Hot,Culture,Low,Backpacking,Two_Weeks,Tonga
Oceania,Mild,Food,Medium,Solo,One_Week,New Caledonia
Oceania,Hot,Adventure,High,Luxury,Weekend,Cook Islands
Oceania,Tropical,City,Medium,Family,One_Week,Samoa
Oceania,Cold,Nature,Low,Backpacking,Two_Weeks,Chatham Islands
Oceania,Mild,Culture,Medium,Family,One_Week,Wallis and Futuna
